,place_with_parent_names
132,|Brasil|Bahia|Salvador|Pituba|
133,|Brasil|Bahia|Salvador|Matatu|
134,|Brasil|Bahia|Salvador|
135,|Brasil|Bahia|Salvador|Paralela|
136,|Brasil|Bahia|Salvador|Barra|
137,|Brasil|Bahia|Salvador|Praia do Flamengo|
138,|Brasil|Bahia|Alagoinhas|
139,|Brasil|Bahia|Salvador|Itaigara|
140,|Brasil|Bahia|Salvador|Rio Vermelho|
141,|Brasil|Bahia|Salvador|Rio Vermelho|
142,|Brasil|Bahia|Salvador|Horto Florestal|
143,|Brasil|Bahia|Itaparica|
144,|Brasil|Bahia|Salvador|Armação|
145,|Brasil|Bahia|Salvador|Barra|
146,|Brasil|Bahia|Salvador|Jardim Apipema|
147,|Brasil|Bahia|Lauro de Freitas|Ipitanga|
148,|Brasil|Bahia|Salvador|Itaigara|
149,|Brasil|Bahia|Lauro de Freitas|Ipitanga|
150,|Brasil|Bahia|Salvador|Luís Anselmo|
151,|Brasil|Bahia|Salvador|Pituba|
152,|Brasil|Bahia|Salvador|Vitória|
153,|Brasil|Bahia|Salvador|Rio Vermelho|
154,|Brasil|Bahia|Salvador|Rio Vermelho|
155,|Brasil|Bahia|Salvador|Ondina|
156,|Brasil|Bahia|Salvador|Rio Vermelho|
157,|Brasil|Bahia|Salvador|Costa Azul|
158,|Brasil|Bahia|Salvador|Costa Azul|
159,|Brasil|Bahia|Salvador|
160,|Brasil|Bahia|Salvador|Costa Azul|
161,|Brasil|Bahia|Salvador|Costa Azul|
162,|Brasil|Bahia|Salvador|Itaigara|
163,|Brasil|Bahia|Salvador|Itaigara|
164,|Brasil|Bahia|Salvador|Jardim Apipema|
165,|Brasil|Bahia|Salvador|Jardim Apipema|
166,|Brasil|Bahia|Salvador|Parque Bela Vista|
167,|Brasil|Bahia|Salvador|Parque Bela Vista|
168,|Brasil|Bahia|Salvador|Rio Vermelho|
169,|Brasil|Bahia|Salvador|Rio Vermelho|
170,|Brasil|Bahia|Salvador|Pituba|
171,|Brasil|Bahia|Salvador|Pituba|
172,|Brasil|Bahia|Salvador|Pituba|
173,|Brasil|Bahia|Salvador|Pituba|
174,|Brasil|Bahia|Salvador|Pituba|
175,|Brasil|Bahia|Salvador|Pituba|
176,|Brasil|Bahia|Salvador|
177,|Brasil|Bahia|Salvador|Caminho das Árvores|
178,|Brasil|Bahia|Salvador|Caminho das Árvores|
179,|Brasil|Bahia|Salvador|Caminho das Árvores|
180,|Brasil|Bahia|Salvador|Caminho das Árvores|
181,|Brasil|Bahia|Salvador|Caminho das Árvores|
182,|Brasil|Bahia|Salvador|Caminho das Árvores|
183,|Brasil|Bahia|Salvador|Jaguaribe|
184,|Brasil|Bahia|Salvador|Ondina|
