,place_with_parent_names
3920,|Brasil|Ceará|Fortaleza|Aldeota|
3921,|Brasil|Ceará|Fortaleza|Joaquim Távora|
3922,|Brasil|Ceará|Fortaleza|Dionisio Torres|
3923,|Brasil|Ceará|Fortaleza|Meireles|
3924,|Brasil|Ceará|Fortaleza|Cocó|
3925,|Brasil|Ceará|Fortaleza|Fátima|
3926,|Brasil|Ceará|Fortaleza|Aldeota|
3927,|Brasil|Ceará|Fortaleza|Engenheiro Luciano Cavalcante|
3928,|Brasil|Ceará|Fortaleza|Mucuripe|
3929,|Brasil|Ceará|Fortaleza|De Lourdes|
3930,|Brasil|Ceará|Aquiraz|Prainha|
3931,|Brasil|Ceará|Fortaleza|Papicu|
3932,|Brasil|Ceará|Fortaleza|José Bonifácio|
3933,|Brasil|Ceará|Fortaleza|Meireles|
3934,|Brasil|Ceará|Fortaleza|Praia de Iracema|
3935,|Brasil|Ceará|Fortaleza|Cocó|
3936,|Brasil|Ceará|Fortaleza|Cocó|
3937,|Brasil|Ceará|Fortaleza|Meireles|
3938,|Brasil|Ceará|Fortaleza|Meireles|
3939,|Brasil|Ceará|Fortaleza|Meireles|
3940,|Brasil|Ceará|Fortaleza|Guararapes|
3941,|Brasil|Ceará|Fortaleza|Dionisio Torres|
3942,|Brasil|Ceará|Fortaleza|Joaquim Távora|
3943,|Brasil|Ceará|Fortaleza|Papicu|
3944,|Brasil|Ceará|Fortaleza|Parangaba|
3945,|Brasil|Ceará|Fortaleza|Papicu|
3946,|Brasil|Ceará|Fortaleza|Praia de Iracema|
3947,|Brasil|Ceará|Fortaleza|Papicu|
3948,|Brasil|Ceará|Fortaleza|Cocó|
3949,|Brasil|Ceará|Fortaleza|Fátima|
3950,|Brasil|Ceará|Fortaleza|Papicu|
3951,|Brasil|Ceará|Fortaleza|Papicu|
3952,|Brasil|Ceará|Fortaleza|Aldeota|
3953,|Brasil|Ceará|Fortaleza|Papicu|
3954,|Brasil|Ceará|Fortaleza|Engenheiro Luciano Cavalcante|
3955,|Brasil|Ceará|Fortaleza|Cocó|
3956,|Brasil|Ceará|Fortaleza|Passaré|
3957,|Brasil|Ceará|Fortaleza|Papicu|
3958,|Brasil|Ceará|Fortaleza|Maraponga|
3959,|Brasil|Ceará|Fortaleza|Lagoa Redonda|
3960,|Brasil|Ceará|Crato|
3961,|Brasil|Ceará|Fortaleza|Aldeota|
3962,|Brasil|Ceará|Fortaleza|Joaquim Távora|
3963,|Brasil|Ceará|Fortaleza|Monte Castelo|
3964,|Brasil|Ceará|Fortaleza|Sapiranga|
3965,|Brasil|Ceará|Aquiraz|Porto das Dunas|
3966,|Brasil|Ceará|Aquiraz|Porto das Dunas|
3967,|Brasil|Ceará|Aquiraz|Porto das Dunas|
3968,|Brasil|Ceará|Fortaleza|Edson Queiroz|
3969,|Brasil|Ceará|Fortaleza|Aldeota|
3970,|Brasil|Ceará|Fortaleza|
3971,|Brasil|Ceará|Fortaleza|Cambeba|
3972,|Brasil|Ceará|Fortaleza|Parangaba|
3973,|Brasil|Ceará|Fortaleza|Edson Queiroz|
3974,|Brasil|Ceará|Fortaleza|Guararapes|
3975,|Brasil|Ceará|Fortaleza|Aldeota|
3976,|Brasil|Ceará|Fortaleza|Meireles|
3977,|Brasil|Ceará|Fortaleza|Meireles|
3978,|Brasil|Ceará|Aquiraz|Porto das Dunas|
3979,|Brasil|Ceará|Fortaleza|Mucuripe|
3980,|Brasil|Ceará|Fortaleza|Cidade dos Funcionários|
3981,|Brasil|Ceará|Fortaleza|
3982,|Brasil|Ceará|Fortaleza|Aldeota|
3983,|Brasil|Ceará|Fortaleza|Aldeota|
3984,|Brasil|Ceará|Fortaleza|Fátima|
3985,|Brasil|Ceará|Fortaleza|Varjota|
3986,|Brasil|Ceará|Fortaleza|São Gerardo|
3987,|Brasil|Ceará|Fortaleza|Maraponga|
3988,|Brasil|Ceará|Fortaleza|Cocó|
3989,|Brasil|Ceará|Fortaleza|Cocó|
3990,|Brasil|Ceará|Fortaleza|Jacarecanga|
3991,|Brasil|Ceará|Fortaleza|Edson Queiroz|
3992,|Brasil|Ceará|Fortaleza|Dionisio Torres|
3993,|Brasil|Ceará|Fortaleza|Cocó|
3994,|Brasil|Ceará|Eusébio|Guaribas|
3995,|Brasil|Ceará|Eusébio|
3996,|Brasil|Ceará|Aquiraz|Porto das Dunas|
3997,|Brasil|Ceará|Juazeiro do Norte|
3998,|Brasil|Ceará|Fortaleza|Mondubim|
3999,|Brasil|Ceará|Aquiraz|
4000,|Brasil|Ceará|Aquiraz|
4001,|Brasil|Ceará|Aquiraz|
4002,|Brasil|Ceará|Aquiraz|
4003,|Brasil|Ceará|Aquiraz|
4004,|Brasil|Ceará|Fortaleza|Guararapes|
4005,|Brasil|Ceará|Aquiraz|Porto das Dunas|
4006,|Brasil|Ceará|Eusébio|
4007,|Brasil|Ceará|Eusébio|
4008,|Brasil|Ceará|Fortaleza|Dionisio Torres|
4009,|Brasil|Ceará|Fortaleza|
4010,|Brasil|Ceará|Fortaleza|Jacarecanga|
4011,|Brasil|Ceará|Fortaleza|Cocó|
4012,|Brasil|Ceará|Fortaleza|José Bonifácio|
4013,|Brasil|Ceará|Fortaleza|Meireles|
4014,|Brasil|Ceará|Fortaleza|Meireles|
4015,|Brasil|Ceará|Fortaleza|Meireles|
4016,|Brasil|Ceará|Fortaleza|Meireles|
4017,|Brasil|Ceará|Fortaleza|Meireles|
4018,|Brasil|Ceará|Fortaleza|Meireles|
4019,|Brasil|Ceará|Fortaleza|Meireles|
4020,|Brasil|Ceará|Fortaleza|Cocó|
4021,|Brasil|Ceará|Fortaleza|Cocó|
4022,|Brasil|Ceará|Fortaleza|Cocó|
4023,|Brasil|Ceará|Fortaleza|Fátima|
4024,|Brasil|Ceará|Fortaleza|Guararapes|
4025,|Brasil|Ceará|Fortaleza|Praia de Iracema|
4026,|Brasil|Ceará|Fortaleza|Papicu|
4027,|Brasil|Ceará|Aquiraz|Porto das Dunas|
4028,|Brasil|Ceará|Eusébio|
4029,|Brasil|Ceará|Eusébio|
4030,|Brasil|Ceará|Fortaleza|Meireles|
4031,|Brasil|Ceará|Fortaleza|Passaré|
4032,|Brasil|Ceará|Eusébio|
4033,|Brasil|Ceará|Eusébio|
4034,|Brasil|Ceará|Fortaleza|
4035,|Brasil|Ceará|Fortaleza|São Gerardo|
4036,|Brasil|Ceará|Fortaleza|
4037,|Brasil|Ceará|Fortaleza|São Gerardo|
4038,|Brasil|Ceará|Fortaleza|Maraponga|
4039,|Brasil|Ceará|Fortaleza|Monte Castelo|
4040,|Brasil|Ceará|Fortaleza|Maraponga|
4041,|Brasil|Ceará|Fortaleza|Parquelândia|
4042,|Brasil|Ceará|Fortaleza|Parquelândia|
4043,|Brasil|Ceará|Fortaleza|Parquelândia|
4044,|Brasil|Ceará|Eusébio|Centro|
4045,|Brasil|Ceará|Fortaleza|José Bonifácio|
4046,|Brasil|Ceará|Fortaleza|Dionisio Torres|
4047,|Brasil|Ceará|Juazeiro do Norte|Lagoa Seca|
4048,|Brasil|Ceará|Fortaleza|Jacarecanga|
4049,|Brasil|Ceará|Fortaleza|Meireles|
4050,|Brasil|Ceará|Fortaleza|Fátima|
4051,|Brasil|Distrito Federal|
4052,|Brasil|Distrito Federal|
4053,|Brasil|Distrito Federal|
4054,|Brasil|Distrito Federal|
4055,|Brasil|Distrito Federal|
4056,|Brasil|Distrito Federal|
4057,|Brasil|Distrito Federal|
4058,|Brasil|Distrito Federal|
4059,|Brasil|Distrito Federal|
4060,|Brasil|Distrito Federal|
4061,|Brasil|Distrito Federal|Brasília|
4062,|Brasil|Distrito Federal|Brasília|
4063,|Brasil|Distrito Federal|Brasília|
4064,|Brasil|Distrito Federal|Brasília|
4065,|Brasil|Distrito Federal|Brasília|
4066,|Brasil|Distrito Federal|Brasília|
4067,|Brasil|Distrito Federal|Brasília|
4068,|Brasil|Distrito Federal|Brasília|
4069,|Brasil|Distrito Federal|Brasília|
4070,|Brasil|Distrito Federal|Brasília|
4071,|Brasil|Distrito Federal|Brasília|
4072,|Brasil|Distrito Federal|Brasília|
4073,|Brasil|Distrito Federal|Brasília|
4074,|Brasil|Distrito Federal|Brasília|
4075,|Brasil|Distrito Federal|Brasília|
4076,|Brasil|Distrito Federal|Brasília|
4077,|Brasil|Distrito Federal|Brasília|
4078,|Brasil|Distrito Federal|Brasília|Guará II|
4079,|Brasil|Distrito Federal|Brasília|
4080,|Brasil|Distrito Federal|Brasília|
4081,|Brasil|Distrito Federal|Brasília|Asa Norte|
4082,|Brasil|Distrito Federal|Brasília|
4083,|Brasil|Distrito Federal|Brasília|
4084,|Brasil|Distrito Federal|Brasília|Guará II|
4085,|Brasil|Distrito Federal|Brasília|
4086,|Brasil|Distrito Federal|Brasília|
4087,|Brasil|Distrito Federal|Brasília|
4088,|Brasil|Distrito Federal|Brasília|
4089,|Brasil|Distrito Federal|Brasília|
4090,|Brasil|Distrito Federal|Brasília|
4091,|Brasil|Distrito Federal|Brasília|
4092,|Brasil|Distrito Federal|Brasília|
4093,|Brasil|Distrito Federal|Brasília|
4094,|Brasil|Distrito Federal|Brasília|
4095,|Brasil|Distrito Federal|Brasília|
4096,|Brasil|Distrito Federal|Brasília|
4097,|Brasil|Distrito Federal|Brasília|
4098,|Brasil|Distrito Federal|Brasília|
4099,|Brasil|Distrito Federal|Brasília|
4100,|Brasil|Distrito Federal|Brasília|
4101,|Brasil|Distrito Federal|Brasília|
4102,|Brasil|Distrito Federal|
4103,|Brasil|Distrito Federal|Brasília|
4104,|Brasil|Distrito Federal|Brasília|
4105,|Brasil|Distrito Federal|Brasília|Guará II|
4106,|Brasil|Distrito Federal|
4107,|Brasil|Distrito Federal|Brasília|Guará II|
4108,|Brasil|Distrito Federal|
4109,|Brasil|Distrito Federal|Brasília|
4110,|Brasil|Distrito Federal|Brasília|Gama|
4111,|Brasil|Distrito Federal|Brasília|
4112,|Brasil|Distrito Federal|Brasília|
4113,|Brasil|Distrito Federal|
4114,|Brasil|Distrito Federal|
4115,|Brasil|Distrito Federal|Brasília|
4116,|Brasil|Distrito Federal|Brasília|
4117,|Brasil|Distrito Federal|
4118,|Brasil|Distrito Federal|
4119,|Brasil|Distrito Federal|Brasília|
4120,|Brasil|Distrito Federal|Brasília|
4121,|Brasil|Distrito Federal|Brasília|
4122,|Brasil|Distrito Federal|Brasília|Guará II|
4123,|Brasil|Distrito Federal|Brasília|
4124,|Brasil|Distrito Federal|Brasília|Asa Sul|
4125,|Brasil|Distrito Federal|Águas Claras|
4126,|Brasil|Distrito Federal|Brasília|Asa Sul|
4127,|Brasil|Distrito Federal|Brasília|Asa Sul|
4128,|Brasil|Distrito Federal|Águas Claras|
4129,|Brasil|Distrito Federal|Brasília|
4130,|Brasil|Distrito Federal|Brasília|Asa Sul|
4131,|Brasil|Distrito Federal|Ceilândia|
4132,|Brasil|Distrito Federal|
4133,|Brasil|Distrito Federal|
4134,|Brasil|Distrito Federal|Águas Claras|
4135,|Brasil|Distrito Federal|Ceilândia|
4136,|Brasil|Distrito Federal|Ceilândia|
4137,|Brasil|Distrito Federal|Ceilândia|
4138,|Brasil|Distrito Federal|Águas Claras|
4139,|Brasil|Distrito Federal|Águas Claras|
4140,|Brasil|Distrito Federal|Águas Claras|
4141,|Brasil|Distrito Federal|Águas Claras|
4142,|Brasil|Distrito Federal|Brasília|Asa Norte|
4143,|Brasil|Distrito Federal|Brasília|Asa Sul|
4144,|Brasil|Distrito Federal|Águas Claras|
4145,|Brasil|Distrito Federal|Brasília|Sobradinho|
4146,|Brasil|Distrito Federal|Águas Claras|
4147,|Brasil|Distrito Federal|Ceilândia|
4148,|Brasil|Distrito Federal|
4149,|Brasil|Distrito Federal|Brasília|Asa Sul|
4150,|Brasil|Distrito Federal|Brasília|Asa Sul|
4151,|Brasil|Distrito Federal|Ceilândia|
4152,|Brasil|Distrito Federal|Águas Claras|
4153,|Brasil|Distrito Federal|Brasília|Gama|
4154,|Brasil|Distrito Federal|Ceilândia|Ceilândia Sul|
4155,|Brasil|Distrito Federal|Brasília|Gama|
4156,|Brasil|Distrito Federal|Brasília|Gama|
4157,|Brasil|Distrito Federal|Brasília|Asa Norte|
4158,|Brasil|Distrito Federal|Águas Claras|
4159,|Brasil|Distrito Federal|Brasília|Asa Sul|
4160,|Brasil|Distrito Federal|Brasília|
4161,|Brasil|Distrito Federal|Ceilândia|Ceilândia Sul|
4162,|Brasil|Distrito Federal|
4163,|Brasil|Distrito Federal|
4164,|Brasil|Distrito Federal|Brasília|
4165,|Brasil|Distrito Federal|Brasília|
4166,|Brasil|Distrito Federal|Brasília|Asa Sul|
4167,|Brasil|Distrito Federal|
4168,|Brasil|Distrito Federal|Brasília|Asa Norte|
4169,|Brasil|Distrito Federal|Brasília|Asa Sul|
4170,|Brasil|Distrito Federal|Águas Claras|
4171,|Brasil|Distrito Federal|Brasília|Gama|
4172,|Brasil|Distrito Federal|
4173,|Brasil|Distrito Federal|Águas Claras|
4174,|Brasil|Distrito Federal|Águas Claras|
4175,|Brasil|Distrito Federal|Brasília|Samambaia Norte|
4176,|Brasil|Distrito Federal|Brasília|Taguatinga Norte|
4177,|Brasil|Distrito Federal|Brasília|Taguatinga Norte|
4178,|Brasil|Distrito Federal|
4179,|Brasil|Distrito Federal|Brasília|
4180,|Brasil|Distrito Federal|Brasília|Asa Sul|
4181,|Brasil|Distrito Federal|Águas Claras|
4182,|Brasil|Distrito Federal|Águas Claras|
4183,|Brasil|Distrito Federal|Brasília|
4184,|Brasil|Distrito Federal|Águas Claras|
4185,|Brasil|Distrito Federal|Brasília|
4186,|Brasil|Distrito Federal|Brasília|Taguatinga Norte|
4187,|Brasil|Distrito Federal|Águas Claras|
4188,|Brasil|Distrito Federal|Águas Claras|
4189,|Brasil|Distrito Federal|
4190,|Brasil|Distrito Federal|Brasília|Samambaia Sul|
4191,|Brasil|Distrito Federal|Brasília|
4192,|Brasil|Distrito Federal|
4193,|Brasil|Distrito Federal|
4194,|Brasil|Distrito Federal|Brasília|Asa Sul|
4195,|Brasil|Distrito Federal|
4196,|Brasil|Distrito Federal|Águas Claras|
4197,|Brasil|Distrito Federal|
4198,|Brasil|Distrito Federal|Brasília|
4199,|Brasil|Distrito Federal|Ceilândia|
4200,|Brasil|Distrito Federal|Brasília|Guará II|
4201,|Brasil|Distrito Federal|Brasília|Gama|
4202,|Brasil|Distrito Federal|Águas Claras|
4203,|Brasil|Distrito Federal|Brasília|Gama|
4204,|Brasil|Distrito Federal|Águas Claras|
4205,|Brasil|Distrito Federal|Águas Claras|
4206,|Brasil|Distrito Federal|Ceilândia|Ceilândia Sul|
4207,|Brasil|Distrito Federal|Águas Claras|
4208,|Brasil|Distrito Federal|Águas Claras|
4209,|Brasil|Distrito Federal|Brasília|Taguatinga Sul|
4210,|Brasil|Distrito Federal|
4211,|Brasil|Distrito Federal|Brasília|Zona Industrial|
4212,|Brasil|Distrito Federal|Águas Claras|
4213,|Brasil|Distrito Federal|Águas Claras|
4214,|Brasil|Distrito Federal|Brasília|Sobradinho|
4215,|Brasil|Distrito Federal|Águas Claras|
4216,|Brasil|Distrito Federal|Águas Claras|
4217,|Brasil|Distrito Federal|Brasília|Asa Sul|
4218,|Brasil|Distrito Federal|Brasília|Asa Sul|
4219,|Brasil|Distrito Federal|Brasília|Asa Sul|
4220,|Brasil|Distrito Federal|Brasília|
4221,|Brasil|Distrito Federal|Águas Claras|
4222,|Brasil|Distrito Federal|Ceilândia|
4223,|Brasil|Distrito Federal|Brasília|Asa Sul|
4224,|Brasil|Distrito Federal|Brasília|
4225,|Brasil|Distrito Federal|Brasília|Taguatinga Norte|
4226,|Brasil|Distrito Federal|Brasília|Taguatinga Norte|
4227,|Brasil|Distrito Federal|Brasília|Gama|
4228,|Brasil|Distrito Federal|
4229,|Brasil|Distrito Federal|Ceilândia|
4230,|Brasil|Distrito Federal|Ceilândia|Ceilândia Sul|
4231,|Brasil|Distrito Federal|Brasília|
4232,|Brasil|Distrito Federal|Águas Claras|
4233,|Brasil|Distrito Federal|Brasília|Asa Sul|
4234,|Brasil|Distrito Federal|Brasília|Núcleo Bandeirante|
4235,|Brasil|Distrito Federal|Águas Claras|
4236,|Brasil|Distrito Federal|Brasília|
4237,|Brasil|Distrito Federal|Brasília|Asa Sul|
4238,|Brasil|Distrito Federal|Brasília|Guará II|
4239,|Brasil|Distrito Federal|Brasília|Asa Sul|
4240,|Brasil|Distrito Federal|Ceilândia|Ceilândia Sul|
4241,|Brasil|Distrito Federal|Águas Claras|
4242,|Brasil|Distrito Federal|Águas Claras|
4243,|Brasil|Distrito Federal|Brasília|
4244,|Brasil|Distrito Federal|Brasília|
4245,|Brasil|Distrito Federal|Brasília|
4246,|Brasil|Distrito Federal|Brasília|
4247,|Brasil|Distrito Federal|Brasília|
4248,|Brasil|Distrito Federal|Águas Claras|
4249,|Brasil|Distrito Federal|
4250,|Brasil|Distrito Federal|Águas Claras|
4251,|Brasil|Distrito Federal|Ceilândia|Ceilândia Sul|
4252,|Brasil|Distrito Federal|
4253,|Brasil|Distrito Federal|Águas Claras|
4254,|Brasil|Distrito Federal|Brasília|Taguatinga Norte|
4255,|Brasil|Distrito Federal|Brasília|
4256,|Brasil|Distrito Federal|Brasília|Asa Norte|
4257,|Brasil|Distrito Federal|Brasília|
4258,|Brasil|Distrito Federal|Brasília|Taguatinga Norte|
4259,|Brasil|Distrito Federal|
4260,|Brasil|Distrito Federal|
4261,|Brasil|Distrito Federal|
4262,|Brasil|Distrito Federal|
4263,|Brasil|Distrito Federal|
4264,|Brasil|Distrito Federal|Brasília|Asa Norte|
4265,|Brasil|Distrito Federal|Brasília|
4266,|Brasil|Distrito Federal|Águas Claras|
4267,|Brasil|Distrito Federal|Águas Claras|
4268,|Brasil|Distrito Federal|
4269,|Brasil|Distrito Federal|Brasília|Gama|
4270,|Brasil|Distrito Federal|Brasília|
4271,|Brasil|Distrito Federal|Brasília|
4272,|Brasil|Distrito Federal|
4273,|Brasil|Distrito Federal|
4274,|Brasil|Distrito Federal|Brasília|Taguatinga Norte|
4275,|Brasil|Distrito Federal|Brasília|
4276,|Brasil|Distrito Federal|Brasília|Taguatinga Norte|
4277,|Brasil|Distrito Federal|Brasília|Samambaia Sul|
4278,|Brasil|Distrito Federal|Brasília|
4279,|Brasil|Distrito Federal|Brasília|
4280,|Brasil|Distrito Federal|Brasília|
4281,|Brasil|Distrito Federal|Brasília|Setor de Habitações Individuais Norte|
4282,|Brasil|Distrito Federal|Brasília|Samambaia Sul|
4283,|Brasil|Distrito Federal|
4284,|Brasil|Distrito Federal|
4285,|Brasil|Distrito Federal|Brasília|
4286,|Brasil|Distrito Federal|Brasília|Riacho Fundo I|
4287,|Brasil|Distrito Federal|Águas Claras|
4288,|Brasil|Distrito Federal|Brasília|Cruzeiro Novo|
4289,|Brasil|Distrito Federal|
4290,|Brasil|Distrito Federal|Brasília|Taguatinga Sul|
4291,|Brasil|Distrito Federal|Brasília|Taguatinga Norte|
4292,|Brasil|Distrito Federal|Brasília|
4293,|Brasil|Distrito Federal|Brasília|Taguatinga Sul|
4294,|Brasil|Distrito Federal|Brasília|Taguatinga Sul|
4295,|Brasil|Distrito Federal|
4296,|Brasil|Distrito Federal|Brasília|
4297,|Brasil|Distrito Federal|Brasília|
4298,|Brasil|Distrito Federal|
4299,|Brasil|Distrito Federal|Brasília|
4300,|Brasil|Distrito Federal|Brasília|Samambaia Norte|
4301,|Brasil|Distrito Federal|
4302,|Brasil|Distrito Federal|Brasília|Asa Sul|
4303,|Brasil|Distrito Federal|Brasília|Asa Norte|
4304,|Brasil|Distrito Federal|Brasília|
4305,|Brasil|Distrito Federal|Brasília|Asa Norte|
4306,|Brasil|Distrito Federal|Brasília|Asa Norte|
4307,|Brasil|Distrito Federal|
4308,|Brasil|Distrito Federal|Brasília|Asa Norte|
4309,|Brasil|Distrito Federal|Brasília|Taguatinga Norte|
4310,|Brasil|Distrito Federal|Brasília|Samambaia Sul|
4311,|Brasil|Distrito Federal|Brasília|
4312,|Brasil|Distrito Federal|Brasília|Samambaia Norte|
4313,|Brasil|Distrito Federal|Brasília|
4314,|Brasil|Distrito Federal|Águas Claras|
4315,|Brasil|Distrito Federal|
4316,|Brasil|Distrito Federal|Brasília|
4317,|Brasil|Distrito Federal|Brasília|
4318,|Brasil|Distrito Federal|Águas Claras|
4319,|Brasil|Distrito Federal|Brasília|
4320,|Brasil|Distrito Federal|Brasília|
4321,|Brasil|Distrito Federal|Ceilândia|Ceilândia Sul|
4322,|Brasil|Distrito Federal|Águas Claras|
4323,|Brasil|Distrito Federal|Brasília|Asa Norte|
4324,|Brasil|Distrito Federal|Brasília|Asa Norte|
4325,|Brasil|Distrito Federal|Brasília|Asa Norte|
4326,|Brasil|Distrito Federal|Brasília|
4327,|Brasil|Distrito Federal|Brasília|Asa Sul|
4328,|Brasil|Distrito Federal|Águas Claras|
4329,|Brasil|Distrito Federal|
4330,|Brasil|Distrito Federal|
4331,|Brasil|Distrito Federal|Águas Claras|
4332,|Brasil|Distrito Federal|
4333,|Brasil|Distrito Federal|Brasília|Setor Sudoeste|
4334,|Brasil|Distrito Federal|Brasília|Asa Norte|
4335,|Brasil|Distrito Federal|Brasília|Asa Norte|
4336,|Brasil|Distrito Federal|Brasília|
4337,|Brasil|Distrito Federal|Águas Claras|
4338,|Brasil|Distrito Federal|Brasília|
4339,|Brasil|Distrito Federal|Brasília|
4340,|Brasil|Distrito Federal|Brasília|
4341,|Brasil|Distrito Federal|Brasília|Sobradinho|
4342,|Brasil|Distrito Federal|Águas Claras|
4343,|Brasil|Distrito Federal|Brasília|
4344,|Brasil|Distrito Federal|Brasília|Asa Norte|
4345,|Brasil|Distrito Federal|Águas Claras|
4346,|Brasil|Distrito Federal|Brasília|Asa Norte|
4347,|Brasil|Distrito Federal|Águas Claras|
4348,|Brasil|Distrito Federal|Brasília|Asa Sul|
4349,|Brasil|Distrito Federal|Águas Claras|
4350,|Brasil|Distrito Federal|Águas Claras|
4351,|Brasil|Distrito Federal|Águas Claras|
4352,|Brasil|Distrito Federal|
4353,|Brasil|Distrito Federal|Águas Claras|
4354,|Brasil|Distrito Federal|Brasília|Asa Sul|
4355,|Brasil|Distrito Federal|
4356,|Brasil|Distrito Federal|Brasília|Taguatinga Sul|
4357,|Brasil|Distrito Federal|Brasília|Setor Habitacional Jardim Botânico|
4358,|Brasil|Distrito Federal|Águas Claras|
4359,|Brasil|Distrito Federal|
4360,|Brasil|Distrito Federal|Brasília|Setor Habitacional Jardim Botânico|
4361,|Brasil|Distrito Federal|Águas Claras|
4362,|Brasil|Distrito Federal|Águas Claras|
4363,|Brasil|Distrito Federal|Águas Claras|
4364,|Brasil|Distrito Federal|Águas Claras|
4365,|Brasil|Distrito Federal|Águas Claras|
4366,|Brasil|Distrito Federal|Brasília|
4367,|Brasil|Distrito Federal|
4368,|Brasil|Distrito Federal|Águas Claras|
4369,|Brasil|Distrito Federal|Brasília|Asa Norte|
4370,|Brasil|Distrito Federal|Águas Claras|
4371,|Brasil|Distrito Federal|Brasília|Asa Norte|
4372,|Brasil|Distrito Federal|Brasília|Asa Sul|
4373,|Brasil|Distrito Federal|Águas Claras|
4374,|Brasil|Distrito Federal|Águas Claras|
4375,|Brasil|Distrito Federal|Brasília|Asa Norte|
4376,|Brasil|Distrito Federal|Brasília|
4377,|Brasil|Distrito Federal|Águas Claras|
4378,|Brasil|Distrito Federal|Águas Claras|
4379,|Brasil|Distrito Federal|Brasília|
4380,|Brasil|Distrito Federal|Águas Claras|
4381,|Brasil|Distrito Federal|Águas Claras|
4382,|Brasil|Distrito Federal|Brasília|Taguatinga Norte|
4383,|Brasil|Distrito Federal|Brasília|Asa Norte|
4384,|Brasil|Distrito Federal|
4385,|Brasil|Distrito Federal|Águas Claras|
4386,|Brasil|Distrito Federal|Águas Claras|
4387,|Brasil|Distrito Federal|Brasília|
4388,|Brasil|Distrito Federal|Brasília|
4389,|Brasil|Distrito Federal|Brasília|Asa Sul|
4390,|Brasil|Distrito Federal|Brasília|Guará II|
4391,|Brasil|Distrito Federal|Brasília|Asa Sul|
4392,|Brasil|Distrito Federal|Brasília|
4393,|Brasil|Distrito Federal|Brasília|Taguatinga Norte|
4394,|Brasil|Distrito Federal|Águas Claras|
4395,|Brasil|Distrito Federal|Águas Claras|
4396,|Brasil|Distrito Federal|Águas Claras|
4397,|Brasil|Distrito Federal|Águas Claras|
4398,|Brasil|Distrito Federal|Brasília|Asa Norte|
4399,|Brasil|Distrito Federal|Brasília|Guará II|
4400,|Brasil|Distrito Federal|Águas Claras|
4401,|Brasil|Distrito Federal|Águas Claras|
4402,|Brasil|Distrito Federal|Águas Claras|
4403,|Brasil|Distrito Federal|Brasília|Asa Sul|
4404,|Brasil|Distrito Federal|
4405,|Brasil|Distrito Federal|
4406,|Brasil|Distrito Federal|Brasília|Taguatinga Norte|
4407,|Brasil|Distrito Federal|
4408,|Brasil|Distrito Federal|Águas Claras|
4409,|Brasil|Distrito Federal|Águas Claras|
4410,|Brasil|Distrito Federal|Brasília|Taguatinga Norte|
4411,|Brasil|Distrito Federal|Águas Claras|
4412,|Brasil|Distrito Federal|Águas Claras|
4413,|Brasil|Distrito Federal|Brasília|Asa Sul|
4414,|Brasil|Distrito Federal|Águas Claras|
4415,|Brasil|Distrito Federal|Águas Claras|
4416,|Brasil|Distrito Federal|Brasília|
4417,|Brasil|Distrito Federal|
4418,|Brasil|Distrito Federal|Brasília|Quadras Econômicas Lúcio Costa|
4419,|Brasil|Distrito Federal|Brasília|Taguatinga Norte|
4420,|Brasil|Distrito Federal|Águas Claras|
4421,|Brasil|Distrito Federal|Brasília|Setor Noroeste|
4422,|Brasil|Distrito Federal|Brasília|
4423,|Brasil|Distrito Federal|Águas Claras|
4424,|Brasil|Distrito Federal|
4425,|Brasil|Distrito Federal|Brasília|Asa Norte|
4426,|Brasil|Distrito Federal|Águas Claras|
4427,|Brasil|Distrito Federal|Brasília|Setor Habitacional Jardim Botânico|
4428,|Brasil|Distrito Federal|Brasília|
4429,|Brasil|Distrito Federal|Brasília|
4430,|Brasil|Distrito Federal|Águas Claras|
4431,|Brasil|Distrito Federal|Brasília|
4432,|Brasil|Distrito Federal|Brasília|
4433,|Brasil|Distrito Federal|Brasília|Asa Norte|
4434,|Brasil|Distrito Federal|Águas Claras|
4435,|Brasil|Distrito Federal|Águas Claras|
4436,|Brasil|Distrito Federal|Águas Claras|
4437,|Brasil|Distrito Federal|Águas Claras|
4438,|Brasil|Distrito Federal|Águas Claras|
4439,|Brasil|Distrito Federal|Águas Claras|
4440,|Brasil|Distrito Federal|Águas Claras|
4441,|Brasil|Distrito Federal|Águas Claras|
4442,|Brasil|Distrito Federal|Águas Claras|
4443,|Brasil|Distrito Federal|Águas Claras|
4444,|Brasil|Distrito Federal|Águas Claras|
4445,|Brasil|Distrito Federal|Águas Claras|
4446,|Brasil|Distrito Federal|Águas Claras|
4447,|Brasil|Distrito Federal|Águas Claras|
4448,|Brasil|Distrito Federal|Águas Claras|
4449,|Brasil|Distrito Federal|Águas Claras|
4450,|Brasil|Distrito Federal|Águas Claras|
4451,|Brasil|Distrito Federal|Águas Claras|
4452,|Brasil|Distrito Federal|Águas Claras|
4453,|Brasil|Distrito Federal|Brasília|
4454,|Brasil|Distrito Federal|
4455,|Brasil|Distrito Federal|Brasília|Asa Norte|
4456,|Brasil|Distrito Federal|Brasília|Asa Norte|
4457,|Brasil|Distrito Federal|Brasília|Asa Norte|
4458,|Brasil|Distrito Federal|Brasília|Taguatinga Norte|
4459,|Brasil|Distrito Federal|Águas Claras|
4460,|Brasil|Distrito Federal|Águas Claras|
